symbol,date,open,high,low,close,volume,change,changePercent,vwap
JPM,2025-07-09,287.18,287.2,282.48,283.16,11273801,-4.02,-1.4,285.005
JPM,2025-07-10,283.0,288.31,283.0,288.19,8413847,5.19,1.83,285.625
JPM,2025-07-11,285.52,287.38,283.65,286.86,7384700,1.34,0.46932,285.8525
JPM,2025-07-14,287.07,289.3,285.26,288.7,9079941,1.63,0.56781,287.5825
JPM,2025-07-15,288.0,291.95,285.48,286.55,12526110,-1.45,-0.50347,287.995
JPM,2025-07-16,288.4,290.73,283.01,285.82,9979800,-2.58,-0.89459,286.99
JPM,2025-07-17,283.44,290.3,283.44,289.9,8509504,6.46,2.28,286.77
JPM,2025-07-18,289.52,292.5,288.23,291.27,12217018,1.75,0.60445,290.38
JPM,2025-07-21,291.0,294.18,290.58,290.97,7898141,-0.03,-0.01030928,291.6825
JPM,2025-07-22,291.5,293.63,289.18,291.43,6717500,-0.07,-0.02401372,291.435
JPM,2025-07-23,292.84,296.99,292.55,296.76,7083510,3.92,1.34,294.785
JPM,2025-07-24,297.42,299.59,296.2,296.55,7001242,-0.87,-0.29252,297.44
JPM,2025-07-25,296.7,298.9,295.96,298.62,5918875,1.92,0.64712,297.545
JPM,2025-07-28,297.66,299.43,296.82,298.28,5840417,0.62,0.20829,298.0475
JPM,2025-07-29,300.0,301.29,296.2,297.04,7635719,-2.96,-0.98667,298.6325
JPM,2025-07-30,297.42,300.61,297.38,299.63,8061742,2.21,0.74306,298.76
JPM,2025-07-31,299.14,300.98,295.5,296.24,14749700,-2.9,-0.96945,297.965
JPM,2025-08-01,290.4,291.8,284.24,289.37,12007111,-1.03,-0.35468,288.9525
JPM,2025-08-04,290.26,294.32,290.26,294.26,6649542,4.0,1.38,292.275
JPM,2025-08-05,294.69,295.79,287.24,291.37,7182333,-3.32,-1.13,292.2725
JPM,2025-08-06,292.3,293.29,290.16,291.35,6330200,-0.95,-0.32501,291.775
JPM,2025-08-07,292.94,293.46,286.41,286.94,8057109,-6.0,-2.05,289.9375
JPM,2025-08-08,288.98,291.23,284.71,288.76,6634506,-0.22,-0.07612984,288.42
